company_logo_url,company_logo_text,company_name,relation_to_event,event_url,company_revenue,n_employees,company_phone,company_founding_year,company_address,company_industry,company_overview,homepage_url,linkedin_company_url,homepage_base_url,company_logo_url_on_event_page,company_logo_match_flag
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/100-women-in-finance-6a062f47,Women in Finance,100 Women In Finance,partner,https://apac.commoditytradingweek.com/,,11-50,,2001,,Financial Services,"100 Women in Finance strengthens the global finance industry by empowering women to achieve their professional potential at each career stage. Its members inspire, equip and advocate for a new generation of industry leadership, in which women and men serve as investment professionals and executives, equal in achievement and impact. Through Education, Peer Engagement and Impact, the organization furthers the progress of women who have chosen finance as a career, and enables their positive influence over pre-career young women.",https://100women.org/events/,https://www.linkedin.com/company/100-women-in-finance/about,100women.org,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/100wif_web-1.png,yes
https://media.licdn.com/dms/image/C4D0BAQHlTYAmrCwYOw/company-logo_200_200/0/1671349864369/bbgc_services_logo?e=1727308800&v=beta&t=yAp-zVtOwxX2ZI66yk5IxfaZa83Bwq6Jotz_Xl9v-io,BBGC,BBGC,sponsor,https://apac.commoditytradingweek.com/,,51-200,,,,IT Services and IT Consulting,"Business Benefits Global Consulting (BBGC) is a multinational consultancy firm with offices in Middle East, Asia, Europe and USA. We deliver business benefits through innovation. We leverage cutting-edge technology led solutions delivered by a team of skilled professionals, from sustainable software development to cloud services and operational excellence strategy. We have extensive expertise in Capital Markets and in particular Trading and Risk Management functions.",www.bbgcservices.com,https://it.linkedin.com/company/bbgcservices/about,bbgcservices.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/BBGC_WEB_logo-1.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/hr-maritime-c13714f3,HR MARITIME,HR Maritime,partner,https://apac.commoditytradingweek.com/,$2 million,2-10,+41 22 732 57 00,2008,"1-3 Rue De Chantepoulet, Geneva, Geneva 1201, CH",Maritime Transportation,"HR Maritime is a Geneva based company providing services to the International Trading and Shipping industry. With a client base both within Switzerland and around the globe we offer guidance and implement tailored solutions to the range of problems besetting a company involved in the trading and shipping of commodities. We work with Commodity Traders, Importers and Exporters, Ship Owners and Managers, P&I Clubs, Insurance Underwriters, Trade Financiers, Lawyers and a number of associated service providers.",http://www.hr-maritime.com,https://ch.linkedin.com/company/hr-maritime/about,hr-maritime.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/HR_logo-2.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/hr-maritime-consultants-ltd-a49cbcaf,HR MARITIME,HR Maritime Consultants Ltd,partner,https://apac.commoditytradingweek.com/,$6 million,51-200,+44 20 3514 0080,2011,,Maritime,"HR Maritime safeguards commercial shipping vessels, superyachts and cruise liners sailing the high-risk areas of the Indian Ocean, the Gulf of Aden, the Red Sea and the Gulf of Guinea. Our services are customised to each customer's needs and priorities, to provide proactive risk management and vulnerability abatement for property, personnel and reputation.",http://www.hrmaritime.com,https://at.linkedin.com/company/hr-maritime-consultants-ltd/about,hrmaritime.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/HR_logo-2.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/kerry-consulting-b606c58b,Kerry Consulting,Kerry Consulting,sponsor,https://apac.commoditytradingweek.com/,$12 million,114.0,(656) 333-8530,2003,"6 Temasek Blvd 31, Singapore 038986, SG",Staffing and Recruiting,"Kerry Consulting Information
Headquartered in Singapore since 2003, Kerry Consulting is Singapore's leading Search & Selection firm. Our consulting team is the most experienced, and amongst the largest, in the ASEAN region. We provide services to many of the world's leading companies and financial institutions. We are committed to creating positive long term outcomes for both our clients and our candidates. Our focus is on ""Returning the Human to Resourcing"". We believe that every organisation's success is largely determined by the quality of its people. Our ability to consistently provide high quality services to our clients is based on: • Trust • Energy • Market Knowledge • Continuity of relationship • Business understanding Our firm is staffed by professionals with extensive experience of and commitment to the region. Our structure is one which promotes teamwork, individual growth and organizational stability. Our aim is to become a trusted long term business partner rather than to be an intermittent service provider.
View Top Employees from Kerry Consulting",https://www.kerryconsulting.com/,https://mz.linkedin.com/company/kerry-consulting/about,kerryconsulting.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/KC_WEB_logo.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/marex-e0284959,MAREX,Marex,sponsor,https://apac.commoditytradingweek.com/,$355 million,"1,001-5,000",+44 20 7655 6000,2005,,Financial Services,"Marex (Nasdaq:MRX) is a diversified financial services platform. We provide essential liquidity, market access and infrastructure services to clients in energy, commodities and financial markets. With more than 35 offices across the world, access to all major exchanges, and technology-powered data and advisory services, Marex is your essential partner.",http://www.marex.com,https://www.linkedin.com/company/marex-global/about,marex.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/MAREX_WEB_logo-1-1.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/marex-d70b75d1,MAREX,Marex Inc,sponsor,https://apac.commoditytradingweek.com/,$4 million,,(703) 330-7616,,"11331 Industrial Rd, Manassas, Virginia 20109, US","Commercial & Residential Construction,  Construction","Marex Inc Information
None
View Top Employees from Marex Inc",http://www.marexinc.com,,marexinc.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/MAREX_WEB_logo-1-1.png,yes
https://media.licdn.com/dms/image/D4E0BAQEeq7sM6erqTw/company-logo_200_200/0/1700757517322/marex_solutions_limited_logo?e=1727308800&v=beta&t=YcJlURp99eVjVMyed7vU-t4NzZN8y-VKF0Kwocp78CA,MAREX,Marex Solutions,sponsor,https://apac.commoditytradingweek.com/,,201-500,,2017,,Financial Services,"Marex Solutions, a division of Marex, specialises in the manufacture and distribution of customised derivative products. We have two specialist teams: Hedging Solutions and Financial Products. Marex Hedging Solutions helps corporations reduce their risk due to the volatility of commodity and currency prices. Marex Financial Products offers a customisable investment solutions platform, allowing investors to easily price and create fully tailor-made products. Securities are issued by Marex Financial, Marex Group's primary operating company, which has an investment-grade rating by S&P Global (June 2023). Marex Financial is an FCA regulated entity.",https://www.marexsolutions.com,https://www.linkedin.com/company/marex-solutions-limited/about,marexsolutions.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/MAREX_WEB_logo-1-1.png,yes
https://media.licdn.com/dms/image/C4E0BAQGu1BTStlK6ug/company-logo_200_200/0/1630630790082/atmospheric_g2_logo?e=1727308800&v=beta&t=hurNfp1SDJKArDBN4ZrlNy5InC0suGitBWaF93X8y6c,Atmospheric G2,Atmospheric G2,exhibitor,https://apac.commoditytradingweek.com/,,11-50,,2021,,Financial Services,"Atmospheric G2, headquartered in Manchester, NH, United States, is an online weather platform that services customers by providing global weather and environmental insights for risk management for energy trading.",http://www.atmosphericg2.com,https://ph.linkedin.com/company/atmosphericg2/about,atmosphericg2.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/atmospheric_web_logo-1.png,yes
https://media.licdn.com/dms/image/C510BAQED_e9BvJo6Lg/company-logo_200_200/0/1631361087280?e=1727308800&v=beta&t=ioeIg_ydPrKl0qySDMl3dmIUdyN_2mcrE-q4tyiBvCg,BIMCO,BIMCO,partner,https://apac.commoditytradingweek.com/,,51-200,(454) 436-6800,1905,,Maritime Transportation,"BIMCO is the world's largest international shipping association, with over 2,000 members in around 130 countries, representing 62% of the world's tonnage. Our global membership includes shipowners, operators, managers, brokers, and agents. BIMCO is a non-profit organisation.",http://www.bimco.org,https://ge.linkedin.com/company/bimco/about,bimco.org,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/bimco_logo_ctwa-1.jpg,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/broadpeak-23a69641,BROADPEAK,Broadpeak,sponsor,https://apac.commoditytradingweek.com/,,201-500,+33 2 22 74 03 50,2010,,Telecommunications,"Broadpeak designs and manufactures video delivery components for Content Providers and Network Service Providers deploying IPTV, Cable and OTT services. Its portfolio of solutions and technologies powers the delivery of movies, television programming and other content over managed networks and the internet for viewing on any type of device. The company's systems and services help operators increase market share and improve subscriber loyalty with superior quality of experience.",https://broadpeak.tv,https://www.linkedin.com/company/broadpeak/about,broadpeak.tv,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/broadpeakapac_web-2.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/carbon-5996d4ae,Carbon Chain,Carbon,associate,https://apac.commoditytradingweek.com/,$135 million,201-500,(650) 285-6307,2013,"1089 Mills Way, Redwood City, California 94063, US",Manufacturing,"Rapidly design, develop and scale production of better products in less time with the Carbon platform. Integrated end-use materials, software, and 3D printers enable teams to accelerate bringing products to market — from idea to production.",https://www.carbon3d.com/,https://www.linkedin.com/company/carbon/about,carbon3d.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/carbonchain_web-2.png,yes
https://media.licdn.com/dms/image/D4E0BAQFFrsgbPx4g4w/company-logo_200_200/0/1718199403666/cleardox_logo?e=1727308800&v=beta&t=i7yDM30pYwnl9qIb-sVOjirm3sZAoDvY06VPO35P0EU,ClearDox,Cleardox,sponsor,https://apac.commoditytradingweek.com/,,2-10,,2019,,Information Technology & Services,"Cleardox makes it easy to remove and replace sensitive information from documents. Using AI Cleardox automatically detects personal information from documents. Find and redact information instantly. Or replace it, so the meaning is maintained. Cleardox can help you. Save time and avoid mistakes with Cleardox. Organisations are spending ever more time manually anonymizing and redacting documents. This cumbersome task often leads to mistakes as words are missed. Cleardox makes you twice as fast, and helps you capture all sensitive words.",https://www.cleardox.io,https://www.linkedin.com/company/cleardox/about,cleardox.io,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/cleardoxapac_web-1.png,yes
https://media.licdn.com/dms/image/D4E0BAQGTRP5VSX-zUw/company-logo_200_200/0/1682390450313/cleardoxllc_logo?e=1727308800&v=beta&t=sYLxd6j6qBgGpvGhp2gtIxfEOp8xh-ODbGILTSRx2qY,ClearDox,ClearDox LLC,sponsor,https://apac.commoditytradingweek.com/,,11-50,,2018,,Software Development,Digital commodity solutions by commodities experts,https://cleardox.com/,https://www.linkedin.com/company/cleardoxllc/about,cleardox.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/cleardoxapac_web-1.png,yes
https://media.licdn.com/dms/image/D560BAQEdZaAb1bWL7g/company-logo_200_200/0/1718784800099/coretrm_logo?e=1727308800&v=beta&t=pykFPZ1RzEr5O6cKJ9YtvVb39omGU_37pDwd6BMiacE,CoreTRM,CoreTRM,associate,https://apac.commoditytradingweek.com/,,11-50,,2018,,Software Development,"CoreTRM Pte. Ltd. is a privately owned Singapore based company which provides a modern approach to the development, deployment and delivery of our CTRM / ETRM platform for oil and commodities trading.",https://coretrm.com,https://ae.linkedin.com/company/coretrm/about,coretrm.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/coretrm_web.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/deltaconx-ag-b879ca4d,deltaconX,deltaconX AG,sponsor,https://apac.commoditytradingweek.com/,$7 million,17.0,+41 41 562 58 38,2013,"51 Hertensteinstrasse, Luzern, Lucerne 6004, CH","Software Development,  Finance General,  Regulatory Reporting,  Finance,  EMIR,  REMIT,  MiFID II,  StromVV,  FinfraG,  MAR,  Market Surveillance,  Data Analysis,  Interfaces to Exchanges & Brokers,  SFTR,  MiFIR","deltaconX AG Information
deltaconX is a full service provider catering for European Financial & Energy Market participants enabling our customers to meet various regulatory requirements such as: • EMIR • FinfraG • MiFIR (ARM) • MAS • MiFIR (APA) • US-Dodd Frank • SFTR • REMIT Through full automation and dynamic error handling, reporting processes are massively simplified, minimising manual work and human errors. By removing the need to delegate e.g. ETDs deltaconX allows users to gain full control over all reporting processes across: • Corporate groups • Source systems • Asset classes • Transaction types • Reporting channels Our powerful rules engine permits users to configure the most complex internal delegation scenarios such as company structures, making us the most flexible solution in the market. Our generic data format, supports reporting under all regulations, and a variety of APIs, deltaconX allows an effortless „single point of integration“ into your existing system(s) environment. The predefined Excel interface we offer is especially beneficial to smaller market participants by eliminating the need for potentially costly integration projects. Our service is provided at the highest security standards possible from certified data centres, which meet the Swiss financial regulator guidelines for banking outsourcing including guaranteed data location in Switzerland. Here at deltaconX we harness technology to make regulatory compliance processes easier, faster and more cost effective by offering All-inclusive packages, which include all related costs for Reporting channels incl. Membership and Transaction fees.
View Top Employees from deltaconX AG",http://www.deltaconx.com,,deltaconx.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/deltaconX_WEB_logo-4.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/fenics-ustreasuries-6ce4833a,Fenics Market Data,Fenics USTreasuries,exhibitor,https://apac.commoditytradingweek.com/,,10.0,,,,Financial Services,"Fenics USTreasuries Information
A New Era for Trading US Treasuries
View Top Employees from Fenics USTreasuries",http://www.fenicsust.com,https://www.linkedin.com/company/fenics-us-treasuries/about,fenicsust.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/fenics_web_logo-1.png,yes
https://media.licdn.com/dms/image/C4E0BAQHgaN65RLgCUA/company-logo_200_200/0/1630611471205/fenics_market_data_logo?e=1727308800&v=beta&t=s23RDWsGguw9zwWxyJfpCY6s-e0XaDAt8lS0fVteWT8,Fenics Market Data,Fenics Market Data,exhibitor,https://apac.commoditytradingweek.com/,,51-200,,,,Financial Services,"Fenics Market Data (""FMD"") is the exclusive distributor of data, including but not limited to, the flagship FMD packages for BGC Partners, Inc. (NASDAQ:BGCP) and its affiliates (""BGC Group Entities""), a leading global brokerage group of companies servicing the financial markets through many brands including, but not limited to: BGC, GFI, Fenics, RP Martin, Amerex, Aurel BGC, Aurel, Sunrise, Remate, BGC Liquidez, Poten & Partners, Ginga and Perimeter Markets.",https://www.fenicsmd.com/,https://sg.linkedin.com/company/fenics-market-data/about,fenicsmd.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/fenics_web_logo-1.png,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/institute-of-chartered-shipbrokers-cdf1c1c1,Institute of Chartered Shipbrokers,Institute of Chartered Shipbrokers,partner,https://apac.commoditytradingweek.com/,,104.0,+44 20 7357 9722,1911,"30 Park Street, London, England SE1 9EQ, GB",Maritime Transportation,"Institute of Chartered Shipbrokers Information
The Institute of Chartered Shipbrokers (ICS) is open to anyone who wishes to start or already has a career in shipping or the maritime industry. You can begin your journey to becoming a member by studying interesting shipping and maritime subjects and sitting our professional exams when you are ready. The Institute is the professional body for all members of the commercial shipping industry worldwide. Founded in 1911, the Institute was awarded a Royal Charter in 1920. We set and examine the syllabus for membership, providing the shipping industry with highly qualified professionals, and we are the only internationally recognised professional body in the commercial maritime arena representing shipbrokers, ship managers and agents throughout the world. We have 26 branches in key locations worldwide with 4,000 individual Members and Fellows. Members of the Institute are committed to maintaining the highest professional standards across the shipping industry and, as part of a professional body, members enjoy the benefits of an enhanced career in the shipping industry. Do you want to become a member? There has never been a more important time to invest in your career. Contact us to discover the Institute's education programmes that are available worldwide both face to face and online. To talk through your options, please feel free to book a consultation with one of our education advisors: education@ics.org.uk
View Top Employees from Institute of Chartered Shipbrokers",http://www.ics.org.uk/,https://www.linkedin.com/company/instituteofcharteredshipbrokers/about,ics.org.uk,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/ics_web-2.png,yes
https://media.licdn.com/dms/image/D4E0BAQFc8-38owcuoQ/company-logo_200_200/0/1697717715494/commodity_thursdays_logo?e=1727308800&v=beta&t=hLDfgDGshEnXOOFVhTRaQ1trsX1_RuU32idC3TmBumo,COMMODITY THURSDAYS,CommodityThursdays,partner,https://apac.commoditytradingweek.com/,,2-10,,2023,,International Trade and Development,CommodityThursdays are regular networking drinks in the shipping and commodities trading industry.,www.commoditythursdays.com,https://ch.linkedin.com/company/commodity-thursdays/about,commoditythursdays.com,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/image001-300x69.jpg,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/itfa-americas-amrc-3857e1d2,International Trade and Forfaiting Association,ITFA Americas (AMRC),partner,https://apac.commoditytradingweek.com/,,201-500,,1995,,Financial Services,"INTERNATIONAL TRADE & FORFAITING ASSOCIATION (ITFA) is a leading non-profit organization of trade finance professionals that promotes informational exchange regarding the best practices of global trade finance. ITFA Americas currently boasts over 300 global members comprising banks, hedge funds, insurance companies, law firms and various corporations actively involved in Trade Finance.",https://itfa.org/regional_committee/americas-regional-committee-amrc/,https://ch.linkedin.com/company/itfa-americas/about,itfa.org,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/itfa_online-1.jpg,yes
https://d1hbpr09pwz0sk.cloudfront.net/logo_url/komgo-4759f830,komgo,Komgo,exhibitor,https://apac.commoditytradingweek.com/,$10.5 million,51-200,+41 78 741 81 85,2018,"Rue Adrien-Lachenal 20, Geneva, Geneva 1207, CH",Software Development,"Komgo is the leading software development and technology services company transforming the trade finance industry. Our innovative solutions empower Treasury, Credit, and Trade Finance teams, streamlining communications and strengthening operational capacity for over 10,000 enterprise users worldwide. From our Swiss roots we've expanded to key international locations including Singapore, Paris, London, Toronto and Houston, where we're trusted by a diverse customer base which includes more than 200 multinational corporations and global trade banks. Together we're building a trusted, transparent, and automated global trade execution environment, where financing is quick and easily accessible. Approximately USD1bn in transaction value flows through the Komgo Network each day.",https://www.komgo.io,https://www.linkedin.com/company/komgo/about,komgo.io,https://apac.commoditytradingweek.com/wp-content/uploads/2022/03/komgo_web_logo.png,yes
